url,Source,Authors(Temp),filename,Date,Title,institutional author,translators,tags,page_type
https://www.mekomit.co.il/הודעה-מנכל-עמותת-972/,LocalCall,חגי מטר,www_mekomit_co_il_d794d795d793d7a2d794-d79ed7a0d79bd79c-d7a2d79ed795d7aad7aa-972_.html,2017-6-13,התחלות חדשות בשיחה מקומית‎ - שיחה מקומית,,,,
https://www.mekomit.co.il/במקום-מאסר-חייבים-בהוצאה-לפועל-ייקחו-ל/,LocalCall,ספיר סלוצקר-עמראן,www_mekomit_co_il_d791d79ed7a7d795d79d-d79ed790d7a1d7a8-d797d799d799d791d799d79d-d791d794d795d7a6d79.html,2014-5-21,הכנסת אישרה: במקום מאסר ייקחו לנו את הפרטיות - שיחה מקומית,,,,
https://www.mekomit.co.il/פרס-ישראל-לרון-בן-ישי-העיתונות-כהמשך-המ/,LocalCall,אורלי נוי,www_mekomit_co_il_d7a4d7a8d7a1-d799d7a9d7a8d790d79c-d79cd7a8d795d79f-d791d79f-d799d7a9d799-d794d7a2d.html,2018-3-4,פרס ישראל לרון בן ישי: העיתונות כהמשך המלחמה בדרכים אחרות - שיחה מקומית,,,,
https://www.mekomit.co.il/מחדל-מחסום-מכבים-כמה-אנשים-צריכים-למו/,LocalCall,יובל אברהם,www_mekomit_co_il_d79ed797d793d79c-d79ed797d7a1d795d79d-d79ed79bd791d799d79d-d79bd79ed794-d790d7a0d7.html,2022-1-17,"מחדל מחסום מכבים: ""כמה אנשים צריכים למות עד שמישהו יתעשת?"" - שיחה מקומית",,,,
https://www.mekomit.co.il/עצורה-פלסטינית-לא-הורשתה-להניק-את-תינו/,LocalCall,אורן זיו,www_mekomit_co_il_d7a2d7a6d795d7a8d794-d7a4d79cd7a1d798d799d7a0d799d7aa-d79cd790-d794d795d7a8d7a9d7a.html,2021-10-19,עצורה פלסטינית לא הורשתה להניק את תינוקתה במשך ארבע שעות - שיחה מקומית,,,,
https://www.mekomit.co.il/סוף-עידן-המוחתארים/,LocalCall,יאסר אבו ערישה,www_mekomit_co_il_d7a1d795d7a3-d7a2d799d793d79f-d794d79ed795d797d7aad790d7a8d799d79d_.html,2019-4-10,הציבור הערבי מזהיר: רוצים סוף לעידן המוח'תארים - שיחה מקומית,,,,
https://www.mekomit.co.il/המחזרים-החדשים-של-הנשים-הערביות-בבחיר/,LocalCall,סמאח סלאימה,www_mekomit_co_il_d794d79ed797d796d7a8d799d79d-d794d797d793d7a9d799d79d-d7a9d79c-d794d7a0d7a9d799d79.html,2021-1-11,המחזרים החדשים של הנשים הערביות בבחירות 2021 - שיחה מקומית,,,,
https://www.mekomit.co.il/הקפה-של-פרידיס/,LocalCall,יאסר אבו ערישה,www_mekomit_co_il_d794d7a7d7a4d794-d7a9d79c-d7a4d7a8d799d793d799d7a1_.html,2017-8-28,"קפה מר, נשים פלסטיניות וצלקת הדיכוי הכפול - שיחה מקומית",,,,
https://www.mekomit.co.il/הרעבת-עזה-מערערת-את-יסודות-הסדר-הבינלא/,LocalCall,ליאת קוזמא|לי מרדכי,www_mekomit_co_il_d794d7a8d7a2d791d7aa-d7a2d796d794-d79ed7a2d7a8d7a2d7a8d7aa-d790d7aa-d799d7a1d795d7.html,2025-5-12,הרעבת עזה מערערת את יסודות הסדר הבינלאומי בקצב מואץ - שיחה מקומית,,,,
https://www.mekomit.co.il/מאות-בהפגנת-השמאל-הפלסטיני-והישראלי-ל/,LocalCall,חגי מטר,www_mekomit_co_il_d79ed790d795d7aa-d791d794d7a4d792d7a0d7aa-d794d7a9d79ed790d79c-d794d7a4d79cd7a1d79.html,2017-2-24,מאות בהפגנת השמאל הפלסטיני והישראלי לפתיחת רחוב השוהדא - שיחה מקומית,,,,
https://www.mekomit.co.il/stream/הדבר-המטריד-באמת-בפרשת-ההערות-הגזעניו/,LocalCall,נועם שיזף,www_mekomit_co_il_stream_d794d793d791d7a8-d794d79ed798d7a8d799d793-d791d790d79ed7aa-d791d7a4d7a8d7a9.html,2014-5-12,הדבר המטריד באמת בפרשת ההערות הגזעניות של בעלי הלוס אנג'לס קליפרס - שיחה מקומית,,,,
https://www.mekomit.co.il/יהודי-ערבי/,LocalCall,אסף דוד,www_mekomit_co_il_d799d794d795d793d799-d7a2d7a8d791d799_.html,2016-12-4,מה זה להיות יהודי-ערבי? - שיחה מקומית,,,,
https://www.mekomit.co.il/stream/עמותת-972-לקידום-עיתונות-אזרחית-מחפשת-מנ/,LocalCall,NOT AVAILABLE,www_mekomit_co_il_stream_d7a2d79ed795d7aad7aa-972-d79cd7a7d799d793d795d79d-d7a2d799d7aad795d7a0d795d.html,2015-5-5,"עמותת 972 לקידום עיתונות אזרחית מחפשת מנכ""ל/ית - שיחה מקומית",,,,
