corpus_name,canonical_author_id,name_script,source,confidence,status
Dahlia Scheindlin,dahlia_scheindlin,EN,spreadsheet_exact,1.0,accepted
Dahlia Shaham,dahlia_shaham,EN,spreadsheet_exact,1.0,accepted
Dalal Erakat,dalal_erakat,EN,spreadsheet_exact,1.0,accepted
Dalia Halabi,dalia_halabi,EN,spreadsheet_exact,1.0,accepted
Dalia Hatuqa,dalia_hatuqa,EN,spreadsheet_exact,1.0,accepted
Dalia Othman,dalia_othman,EN,spreadsheet_exact,1.0,accepted
Dalit Baum,dalit_baum,EN,spreadsheet_exact,1.0,accepted
Dalya Al Masri,dalya_al_masri,EN,spreadsheet_exact,1.0,accepted
Dan Gazit,dan_gazit,EN,spreadsheet_exact,1.0,accepted
Dan Goldenblatt,dan_goldenblatt,EN,spreadsheet_exact,1.0,accepted
Dan Owen,dan_owen,EN,spreadsheet_exact,1.0,accepted
Dana Direktor,dana_direktor,EN,spreadsheet_exact,1.0,accepted
Dana Golan,dana_golan,EN,spreadsheet_exact,1.0,accepted
Dana Hercbergs,dana_hercbergs,EN,spreadsheet_exact,1.0,accepted
Dana Mills,dana_mills,EN,spreadsheet_exact,1.0,accepted
Dana Moss,dana_moss,EN,spreadsheet_exact,1.0,accepted
Daniel Amir,daniel_amir,EN,spreadsheet_exact,1.0,accepted
Daniel Bar-Tal,daniel_bar_tal,EN,spreadsheet_exact,1.0,accepted
Daniel Beller,daniel_beller,EN,spreadsheet_exact,1.0,accepted
Daniel Dor,daniel_dor,EN,spreadsheet_exact,1.0,accepted
Daniel Easterman,daniel_easterman,EN,spreadsheet_exact,1.0,accepted
Daniel J. Solomon,daniel_j_solomon,EN,spreadsheet_exact,1.0,accepted
Daniel Levy,daniel_levy,EN,spreadsheet_exact,1.0,accepted
Daniel May,daniel_may,EN,spreadsheet_exact,1.0,accepted
Daniel Monterescu,daniel_monterescu,EN,spreadsheet_exact,1.0,accepted
Daniel OZ,daniel_oz,EN,spreadsheet_exact,1.0,accepted
Daniel Reisel,daniel_reisel,EN,spreadsheet_exact,1.0,accepted
Daniela Tolchinsky,daniela_tolchinsky,EN,spreadsheet_exact,1.0,accepted
Danit Shaham,danit_shaham,EN,spreadsheet_exact,1.0,accepted
Danny Orbach,danny_orbach,EN,spreadsheet_exact,1.0,accepted
Daoud Kuttab,daoud_kuttab,EN,spreadsheet_exact,1.0,accepted
David Harris-Gershon,david_harris_gershon,EN,spreadsheet_exact,1.0,accepted
David Hughes,david_hughes,EN,spreadsheet_exact,1.0,accepted
David Kaufman,david_kaufman,EN,spreadsheet_exact,1.0,accepted
