url,Source,Authors(Temp),filename,Date,Title,institutional author,translators,tags,page_type,_date_parsed,_authors,_word_count,_total_matches,_matched_terms,_term_TERM_002,_term_TERM_002_per1k,_term_TERM_005,_term_TERM_005_per1k,_term_TERM_011,_term_TERM_011_per1k,_term_TERM_014,_term_TERM_014_per1k,_term_TERM_010,_term_TERM_010_per1k,_term_TERM_007,_term_TERM_007_per1k,_term_TERM_004,_term_TERM_004_per1k,_term_TERM_013,_term_TERM_013_per1k,_term_TERM_017,_term_TERM_017_per1k,_term_TERM_001,_term_TERM_001_per1k,_term_TERM_018,_term_TERM_018_per1k,_term_TERM_012,_term_TERM_012_per1k,_term_TERM_019,_term_TERM_019_per1k,_term_TERM_015,_term_TERM_015_per1k,_term_TERM_003,_term_TERM_003_per1k,_term_TERM_016,_term_TERM_016_per1k,_term_TERM_009,_term_TERM_009_per1k,_term_TERM_006,_term_TERM_006_per1k,_term_TERM_008,_term_TERM_008_per1k
https://www.mekomit.co.il/ארדן/,LocalCall,רמי יונס,www_mekomit_co_il_d790d7a8d793d79f_.html,2017-1-23,לא. אסור להסתפק בדרישה מגלעד ארדן להתפטר - שיחה מקומית,,,,,2017-01-23,rami_younis,1350,20,"Colonialism (2), Zionism (8), Occupation (10)",2.0,1.4815,8.0,5.9259,,,,,10.0,7.4074,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.mekomit.co.il/כתב-אישום-על-ריצה/,LocalCall,נעם רותם,www_mekomit_co_il_d79bd7aad791-d790d799d7a9d795d79d-d7a2d79c-d7a8d799d7a6d794_.html,2016-2-13,"ראית יו-טיוב של דאע""ש ויצאת לריצה? אם אתה בדואי, צפה לכתב אישום - שיחה מקומית",,,,,2016-02-13,noam_rotem,1065,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.mekomit.co.il/stream/מועצת-החכמים-חוששת-מישי/,LocalCall,אלי ביתאן,www_mekomit_co_il_stream_d79ed795d7a2d7a6d7aa-d794d797d79bd79ed799d79d-d797d795d7a9d7a9d7aa-d79ed799.html,2014-6-9,"חופש ההצבעה לנשיא בש""ס מסמן שמועצת החכמים חוששת מאלי ישי - שיחה מקומית",,,,,2014-06-09,eli_bitan,697,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.mekomit.co.il/האם-משבר-הקורונה-מסמן-את-סוף-העידן-הניא/,LocalCall,מיכאל ספיר,www_mekomit_co_il_d794d790d79d-d79ed7a9d791d7a8-d794d7a7d795d7a8d795d7a0d794-d79ed7a1d79ed79f-d790d7.html,2020-3-14,האם משבר הקורונה מסמן את סוף העידן הניאו-ליברלי? - שיחה מקומית,,,,,2020-03-14,מיכאל_ספיר,3445,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.mekomit.co.il/אגודת-העיתונאים-ים-והפלסטינים/,LocalCall,נעם רותם,www_mekomit_co_il_d790d792d795d793d7aa-d794d7a2d799d7aad795d7a0d790d799d79d-d799d79d-d795d794d7a4d79.html,2016-5-2,"באגודת העיתונאים בי-ם הודיעו על הסכם עם עמיתיהם הפלסטינים, שלא קיים - שיחה מקומית",,,,,2016-05-02,noam_rotem,981,4,"Zionism (2), Occupation (2)",,,2.0,2.0387,,,,,2.0,2.0387,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.mekomit.co.il/טל-גלבוע-מזהה-נכון-אתם-באמת-צריכים-להשת/,LocalCall,תמר בן דוד,www_mekomit_co_il_d798d79c-d792d79cd791d795d7a2-d79ed796d794d794-d7a0d79bd795d79f-d790d7aad79d-d791d.html,2022-2-17,טל גלבוע מזהה נכון: אתם באמת צריכים להשתנות - שיחה מקומית,,,,,2022-02-17,תמר_בן_דוד,2121,4,"Zionism (2), Peace (2)",,,2.0,0.943,2.0,0.943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.mekomit.co.il/חיבור-של-מרצ-לעבודה-הוא-יריקה-בפרצוף-הע/,LocalCall,ניר כהן,www_mekomit_co_il_d797d799d791d795d7a8-d7a9d79c-d79ed7a8d7a6-d79cd7a2d791d795d793d794-d794d795d790-d.html,2019-6-2,חיבור של מרצ לעבודה הוא יריקה בפרצוף הערבים שהצביעו לה - שיחה מקומית,,,,,2019-06-02,ניר_כהן,1261,10,"Occupation (6), Peace (4)",,,,,4.0,3.1721,,,6.0,4.7581,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.mekomit.co.il/רצינו-יותר-השפעה-תומכי-האסלאמית-מסביר/,LocalCall,בכר זועבי,www_mekomit_co_il_d7a8d7a6d799d7a0d795-d799d795d7aad7a8-d794d7a9d7a4d7a2d794-d7aad795d79ed79bd799-d7.html,2021-3-29,רצינו יותר השפעה. תומכי האסלאמית מסבירים למה הצביעו לה - שיחה מקומית,,,,,2021-03-29,baker_zoubi,1514,2,Zionism (2),,,2.0,1.321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.mekomit.co.il/הישראלים-שקיללו-אותי-במטוס-לא-מבינים-ש/,LocalCall,מירון רפופורט,www_mekomit_co_il_d794d799d7a9d7a8d790d79cd799d79d-d7a9d7a7d799d79cd79cd795-d790d795d7aad799-d791d79.html,2025-12-11,"הישראלים שקיללו אותי במטוס לא מבינים שהם לא לבד בעולם"" - שיחה מקומית",,,,,2025-12-11,meron_rapoport,5157,10,"Colonialism (2), Zionism (2), Coexistence (2), Fascism (4)",2.0,0.3878,2.0,0.3878,,,,,,,,,,,,,4.0,0.7756,,,,,2.0,0.3878,,,,,,,,,,,,,,
https://www.mekomit.co.il/כשהטבע-שייך-לפלסטינים-לרשות-הטבע-אין-ב/,LocalCall,אביב טטרסקי,www_mekomit_co_il_d79bd7a9d794d798d791d7a2-d7a9d799d799d79a-d79cd7a4d79cd7a1d798d799d7a0d799d79d-d79.html,2021-3-29,"כשהטבע שייך לפלסטינים, לרשות הטבע אין בעיה שהוא ייהרס - שיחה מקומית",,,,,2021-03-29,aviv_tatarsky,2868,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
